name,price,pages,genre
Довга Хода,280,288,Трилери та жахи
Комплект з 9 книг Тесс Ґеррітсен за суперціною,1580,135х205,Ріццолі та Айлз
Біллі Саммерс,300,608,Детективи
Земля мертвих,230,512,Детективи
Клуб «Мефісто»,220,384,Ріццолі та Айлз
Двійник,220,384,Ріццолі та Айлз
Смертниці,220,336,Ріццолі та Айлз
Керрі,200,224,Фентезі
Асистент,220,368,Ріццолі та Айлз
Убивчий холод,220,352,Ріццолі та Айлз
Що не так з моєю матір’ю,220,304,Трилери та жахи
Хірург,220,352,Ріццолі та Айлз
Грішна,220,336,Ріццолі та Айлз
Бот. Ґуаякільський парадокс,220,512,Сучасні автори
Веріті,360,336,Сучасні автори
Кладовище домашніх тварин,245,400,Фентезі
Крістіна,300,576,Фентезі
Мертва зона,300,544,Трилери та жахи
Загадкова кімната,220,288,Сучасні автори
Втрачений символ,235,608,Сучасні автори
Темна половина,360,592,Фентезі
Останній страх,210,416,Детективи
Я - безодня,230,336,Трилери та жахи
Приховані малюнки,250,384,Сучасні автори
Містер Мерседес,270,544,Трилогія про Білла Годжеса
Зазирни у мої сни,220,528,Сучасні автори
Хранителі смерті,220,336,Ріццолі та Айлз
Доктор Сон,300,640,Фентезі
Багряні ріки,230,352,Детективи
